,fluxes,ec-code,kcat_MW,E,equ
UDPGD_num1,0.0,1.1.1.22,745.1044883136702,0.0,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c
UGMDDS,0.0,6.3.2.10,34367.56092896282,0.0,alaala_c + atp_c + ugmd_c --> adp_c + h_c + pi_c + ugmda_c
3OAR121,0.1130907542435423,1.1.1.100,8486.469619571115,1.3326007081052583e-05,3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c
3OAR141,0.1130907542435423,1.1.1.100,8486.469619571115,1.3326007081052583e-05,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c
3OAR161,0.11063248257996827,1.1.1.100,8486.469619571115,1.3036337551345569e-05,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c
3OAR181,0.10840099427217353,1.1.1.100,8486.469619571115,1.2773390954253113e-05,3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c
G1PTT,0.0,2.7.7.24,710.0004891647752,0.0,dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c
GALUi_num1,0.0,2.7.7.9,11410.721319865865,0.0,g1p_c + h_c + utp_c --> ppi_c + udpg_c
PAPPT3,0.0,2.7.8.13,18707.126198226168,0.0,udcpp_c + ugmda_c --> uagmda_c + ump_c
ACONTa,0.6660162716953969,4.2.1.3,7176.314375866433,9.280756622580171e-05,cit_c --> acon_C_c + h2o_c
ACONTb,0.6660162716953969,4.2.1.3,7176.314375866433,9.280756622580171e-05,acon_C_c + h2o_c --> icit_c
AKGDH,0.03723235021088485,1.2.4.2,794.6774168616673,4.685215588222263e-05,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c
CITL,0.0,4.1.3.6,,,cit_c --> ac_c + oaa_c
CS_num1,0.6660162716953969,2.3.3.1,4385.329122524846,0.00015187372557158015,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
FRD2,0.06278428715282998,1.3.99.1,,,fum_c + mql8_c --> mqn8_c + succ_c
FRD3,0.0,1.3.99.1,,,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
FUM,0.3046865255197574,4.2.1.2,6705.369566204791,4.543918459847226e-05,fum_c + h2o_c --> mal__L_c
ICDHyr,0.6660162716953969,1.1.1.42,745.8914671446926,0.0008929131127413728,icit_c + nadp_c --> akg_c + co2_c + nadph_c
MDH,0.3046865255197574,1.1.1.37,8444.879095449614,3.607944199981889e-05,mal__L_c + nad_c --> h_c + nadh_c + oaa_c
MDH2,0.0,1.1.5.4,,,mal__L_c + q8_c --> oaa_c + q8h2_c
MDH3,0.0,1.1.5.4,,,mal__L_c + mqn8_c --> mql8_c + oaa_c
PYRC,1.2592084256157587,6.4.1.1,1754.6448120759546,0.0007176429194954645,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c
SUCOAS,0.0,6.2.1.5,1886.920071431964,0.0,adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c
2MAHMP,0.0,3.6.1.-,,,2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c
ACBIPGT,0.0,2.7.7.62,420.96152593255516,0.0,adocbip_c + gtp_c + h_c --> agdpcbi_c + ppi_c
ACPS1_num1,0.0,2.7.8.7,94.00843873645135,0.0,apoACP_c + coa_c --> ACP_c + h_c + pap_c
ADCL,0.0,4.1.3.38,,,4adcho_c --> 4abz_c + h_c + pyr_c
ADCS,0.0,2.6.1.85,15.955483563276626,0.0,chor_c + gln__L_c --> 4adcho_c + glu__L_c
ADOCBIK,0.0,2.7.1.156,42.445059948792355,0.0,adocbi_c + atp_c --> adocbip_c + adp_c + h_c
ADOCBLS,0.0,,821183.1494384706,0.0,agdpcbi_c + rdmbzi_c --> adocbl_c + gmp_c + h_c
ALATA_D2,0.0,2.1.2.1,1346.912894173061,0.0,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
ALATA_L2,0.0,2.1.2.1,1346.912894173061,0.0,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
AMAOTr,0.0,2.6.1.62,2320.800202174017,0.0,8aonn_c + amet_c --> amob_c + dann_c
AMMQLT8,0.0,2.1.1.163,,,2dmmql8_c + amet_c --> ahcys_c + h_c + mql8_c
AMPMS2,0.0,4.1.99.17,55483.336846989776,0.0,air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c
ASP1DC,0.00030611798442709915,4.1.1.11,174.5852225105777,1.7534014621916366e-06,asp__L_c + h_c --> ala_B_c + co2_c
ASPO5,0.0012102272085417626,,,,asp__L_c + fum_c --> h_c + iasp_c + succ_c
BMOCOS_num1,0.0,,624875.0245532056,0.0,moco_c + mptamp_c --> amp_c + bmoco_c + cu2_c
BTS4,0.0,2.8.1.6,9893.794479594388,0.0,amet_c + dtbt_c + s_c --> btn_c + dad_5_c + h_c + met__L_c
BWCOS_num1,0.0,,624875.0245532056,0.0,mptamp_c + wco_c --> amp_c + bwco_c + cu2_c
CDPMEK,0.0003234736589833269,2.7.1.148,,,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c
CPMPS_num1,0.0,4.1.99.18,,,gtp_c + h2o_c --> cpmp_c + ppi_c
CPPPGO,0.0,1.3.3.3,,,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
CPPPGO2,0.0,1.3.99.22,22688.863589786844,0.0,2.0 amet_c + cpppg3_c --> 2.0 co2_c + 2.0 dad_5_c + 2.0 met__L_c + pppg9_c
DB4PS,0.0,4.1.99.12,,,ru5p__D_c --> db4p_c + for_c + h_c
DBTS,0.0,6.3.3.3,1310.351017524525,0.0,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c
DHFR,0.0034949661735688333,1.5.1.3,11836.772148382452,2.9526344933879934e-07,dhf_c + h_c + nadph_c --> nadp_c + thf_c
DHFS,0.0,6.3.2.12,,,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c
DHNCOAS,0.0,4.1.3.36,,,h_c + sbzcoa_c --> 14dhncoa_c + h2o_c
DHNCOAT,0.0,,836793.3105502946,0.0,14dhncoa_c + h2o_c --> coa_c + dhna_c + h_c
DHPPDA2_num1,0.0,3.5.4.26,646.0008935646828,0.0,25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c
DHPS2_num1,0.0,2.5.1.15,9313.334152883586,0.0,4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c
DHPTPE,0.0,,1899740.7786330902,0.0,ahdt_c --> dhmptp_c
DMATT_num1,0.0,2.5.1.1,56.48087302080988,0.0,dmpp_c + ipdp_c --> grdp_c + ppi_c
DMPPS,2.9406696271211537e-05,1.17.1.2,266.95124988181806,1.1015755230301476e-07,h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c
DPCOAK,0.00030611798442709915,2.7.1.24,1176.8111744795654,2.601249810212562e-07,atp_c + dpcoa_c --> adp_c + coa_c + h_c
DPR,0.00030611798442709915,1.1.1.169,1917.8540101792603,1.5961485222667524e-07,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c
DXPRIi,0.0003234736589833269,1.1.1.267,388.5243423122128,8.325698643700114e-07,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c
DXPS,0.0003234736589833269,2.2.1.7,1308.6511492117475,2.47180968876364e-07,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c
FCLT,0.0,4.99.1.1,3.909807111329909,0.0,fe2_c + ppp9_c --> 2.0 h_c + pheme_c
FMNAT,0.0,2.7.7.2,4.416921812838831,0.0,atp_c + fmn_c + h_c --> fad_c + ppi_c
G1SAT,0.0,5.4.3.8,19.94939559818145,0.0,glu1sa_c --> 5aop_c
GDPDPK,0.0,,1112964.138402001,0.0,atp_c + gdp_c --> amp_c + h_c + ppgpp_c
GDPTPDP,0.0,3.1.7.2,443.8443655732888,0.0,gdptp_c + h2o_c --> gtp_c + ppi_c
GLUCYS,0.0,6.3.2.2,123130.80186332733,0.0,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c
GLUTRR,0.0,1.2.1.70,10944.336385165148,0.0,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLYOD,0.0,1.1.3.15,1036.5604738411141,0.0,glyclt_c + o2_c --> glx_c + h2o2_c
GRTT_num1,2.9406696271211537e-05,2.5.1.10,660.5134298431797,4.452096648238224e-08,grdp_c + ipdp_c --> frdp_c + ppi_c
GTHOr,0.0,1.8.1.7,16776.000599542793,0.0,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
GTHRDHpp,0.0,2.3.2.2,6184.9314834722545,0.0,gthrd_c + h2o_c --> cgly_c + glu__L_c
GTPCI,0.0,3.5.4.16,120.89289179533912,0.0,gtp_c + h2o_c --> ahdt_c + for_c + h_c
GTPDPDP_num1,0.0,3.6.1.40,403.1801909466121,0.0,gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c
GTPDPK,0.0,2.7.6.5,644.6468412267448,0.0,atp_c + gtp_c --> amp_c + gdptp_c + h_c
HETZK,0.0,2.7.1.50,,,4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c
HMBS,0.0,2.5.1.61,28.117093121950425,0.0,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c
HPPK2,0.0,2.7.6.3,99672.4591588127,0.0,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c
ICHORS,0.0,5.4.4.2,913.2909714345489,0.0,chor_c --> ichor_c
IPDDI,0.0,5.3.3.2,366749.0486073027,0.0,ipdp_c --> dmpp_c
IPDPS,0.0002940669627121154,1.17.1.2,266.95124988181806,1.1015755230301476e-06,h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c
LIPAMPL,0.0,,907467.6502000956,0.0,lipoamp_c --> amp_c + lipopb_c
LIPATPT,0.0,,907467.6502000956,0.0,atp_c + lipoate_c --> lipoamp_c + ppi_c
LIPOCT,0.0,2.3.1.181,26.351740818507253,0.0,h_c + ocACP_c --> ACP_c + octapb_c
LIPOS,0.0,2.8.1.8,,,4fe4s_c + 2.0 amet_c + h_c + nad_c + octapb_c --> 2fe2s_c + 2.0 dad_5_c + 2.0 fe2_c + lipopb_c + 2.0 met__L_c + nadh_c
MECDPDH2,0.0003234736589833269,1.17.7.1,,,2mecdp_c + nadh_c --> h2mb4p_c + h2o_c + nad_c
MECDPS,0.0003234736589833269,4.6.1.12,168.8620746635726,1.915608697973125e-06,2p4c2me_c --> 2mecdp_c + cmp_c
MEPCT,0.0003234736589833269,2.7.7.60,12760.391982960757,2.534982149570865e-08,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c
MOCOS_num1,0.0,,624875.0245532056,0.0,2.0 h_c + mobd_c + mptamp_c --> amp_c + cu2_c + h2o_c + moco_c
MOHMT,0.00030611798442709915,2.1.2.11,9.926619243134123,3.083809068619507e-05,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c
MPTAT,0.0,,1560438.6024604398,0.0,atp_c + h_c + mpt_c --> mptamp_c + ppi_c
MPTS,0.0,,1654804.0543785463,0.0,cpmp_c + cu2_c + 2.0 moadcosh_c --> 5.0 h_c + 2.0 moadcoo_c + mpt_c
MPTSS,0.0,,712334.2003039893,0.0,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c
MSDHD_num1,0.0,1.2.1.18,,,coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c
NADDP_num1,0.0,3.6.1.22,15042.418102837815,0.0,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
NADK,0.00023729999267592373,2.7.1.23,914.2786458665133,2.5954887358330586e-07,atp_c + nad_c --> adp_c + h_c + nadp_c
NADPPPS_num1,0.0,,757301.3571823303,0.0,h2o_c + nadp_c --> nad_c + pi_c
NADS1,0.0012102272085417626,6.3.1.5,18.73414493571314,6.460007716897135e-05,atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c
NNAM,0.0,3.5.1.19,2798.275611216903,0.0,h2o_c + ncam_c --> nac_c + nh4_c
NNDMBRT,0.0,2.4.2.21,3646.222640614278,0.0,dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c
NNDPR,0.0012102272085417626,2.4.2.19,49124.061748582375,2.4636138899420046e-08,2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
NPHS,0.0,4.1.3.36,13.807989387495477,0.0,sbzcoa_c --> coa_c + dhna_c
OCTDPS,0.0,,704235.1172027321,0.0,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c
OCTNLL,0.0,,907467.6502000956,0.0,atp_c + h_c + octa_c --> amp_c + octapb_c + ppi_c
OHPBAT,0.0,2.6.1.52,96.30263506483887,0.0,glu__L_c + ohpb_c --> akg_c + phthr_c
OMBZLM,0.0,,1055113.2356703088,0.0,2ombzl_c + amet_c --> 2ommbl_c + ahcys_c + h_c
PANTS_num1,0.0,6.3.2.1,134.13483037752346,0.0,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c
PMPK,0.0,2.7.4.7,3.3854997435618124,0.0,4ampm_c + atp_c --> 2mahmp_c + adp_c
PNTK,0.00030611798442709915,2.7.1.33,39.57096221629018,7.735924710495909e-06,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c
PPBNGS,0.0,4.2.1.24,3112.2205527529,0.0,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c
PPCDC,0.00030611798442709915,4.1.1.36,153.2312499896105,1.9977516625874605e-06,4ppcys_c + h_c --> co2_c + pan4p_c
PPGPPDP,0.0,2.7.6.5,644.6468412267448,0.0,h2o_c + ppgpp_c --> gdp_c + ppi_c
PPNCL2,0.00030611798442709915,6.3.2.5,149.26365618289205,2.0508541211935356e-06,4ppan_c + ctp_c + cys__L_c --> 4ppcys_c + cmp_c + h_c + ppi_c
PPPGO,0.0,1.3.3.4,113.47188622727322,0.0,1.5 o2_c + pppg9_c --> 3.0 h2o_c + ppp9_c
PPPGO3,0.0,1.3.3.4,113.47188622727322,0.0,3.0 fum_c + pppg9_c --> ppp9_c + 3.0 succ_c
PTPATi,0.00030611798442709915,2.7.7.3,357.7427981139946,8.556929336968924e-07,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c
PY5PSH,0.00011864939761907591,4.3.3.6,0.0903331152890618,0.0013134651366711236,g3p_c + gln__L_c + r5p_c --> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c
PYDAMK,0.0,2.7.1.35,54.07890053063678,0.0,atp_c + pydam_c --> adp_c + h_c + pyam5p_c
PYDXK,0.0,2.7.1.35,54.07890053063678,0.0,atp_c + pydx_c --> adp_c + h_c + pydx5p_c
PYDXNK,0.0,2.7.1.35,54.07890053063678,0.0,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
QULNS,0.0012102272085417626,2.5.1.72,,,dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
RBFSa,0.0,2.5.1.78,10.16546651785884,0.0,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
RBFSb,0.0,2.5.1.9,93.64799348966758,0.0,2.0 dmlz_c --> 4r5au_c + ribflv_c
RZ5PP,0.0,,930416.9890413362,0.0,5prdmbz_c + h2o_c --> pi_c + rdmbzi_c
SEPHCHCS,0.0,,232480.4957951697,0.0,akg_c + h_c + ichor_c --> 2sephchc_c + co2_c
SUCBZL,0.0,6.2.1.26,4586.871650428114,0.0,atp_c + coa_c + sucbz_c --> amp_c + ppi_c + sbzcoa_c
TDPDSH,0.0,5.1.3.13,9023.334554534262,0.0,dtdp4d6dg_c --> dtdp4d6dm_c
TMPK,0.0,2.7.4.16,6.5081064103978585,0.0,atp_c + thmmp_c --> adp_c + thmpp_c
TMPPP_num1,0.0,2.5.1.3,44756.6948895225,0.0,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
TRATF_num1,0.0,2.6.1.55,,,akg_c + tau_c --> 2saa_c + glu__L_c
TYRL,0.0,2.8.1.10,,,amet_c + nadph_c + tyr__L_c --> 4crsol_c + dad_5_c + dhgly_c + h_c + met__L_c + nadp_c
UDCPDPS,2.9406696271211537e-05,2.5.1.31,116.31628585028713,2.528166718550612e-07,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
UPP3MT_num1,0.0,2.1.1.107,2155.270715558962,0.0,2.0 amet_c + uppg3_c --> 2.0 ahcys_c + dscL_c + h_c
UPP3S,0.0,4.2.1.75,16226.125735036874,0.0,hmbil_c --> h2o_c + uppg3_c
UPPDC1,0.0,4.1.1.37,15611.121069490244,0.0,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
WCOS_num1,0.0,,624875.0245532056,0.0,2.0 h_c + mptamp_c + tungs_c --> amp_c + cu2_c + h2o_c + wco_c
NAMNPP,0.0,2.4.2.11,,,atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c
RBFK,0.0,2.7.1.26,194.2368951377459,0.0,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ADSK,0.0,,,,aps_c + atp_c --> adp_c + h_c + paps_c
AMPTASECG_num1,0.0,3.4.11.2,8958.545519435143,0.0,cgly_c + h2o_c --> cys__L_c + gly_c
BPNT,0.0,3.1.3.7,1354.3711622986814,0.0,h2o_c + pap_c --> amp_c + pi_c
CYSS,0.059084416676471976,2.5.1.47,26349.004527812554,2.2423775673993955e-06,acser_c + h2s_c --> ac_c + cys__L_c + h_c
MCPST_num1,0.0,2.8.1.2,51435.42385877088,0.0,cyan_c + mercppyr_c --> h_c + pyr_c + tcynt_c
PAPSR,0.0,1.8.4.8,86.71467054978474,0.0,paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c
PAPSR2,0.0,1.8.4.8,86.71467054978474,0.0,grxrd_c + paps_c --> grxox_c + 2.0 h_c + pap_c + so3_c
SADT2,0.059084416676471976,2.7.7.4,843.8875816089404,7.001455876838799e-05,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c
SERAT,0.059084416676471976,2.3.1.30,189599.6675337477,3.116272166772406e-07,accoa_c + ser__L_c --> acser_c + coa_c
SULRi,0.059084416676471976,1.8.2.2,1080400.7459655816,5.4687500815881735e-08,5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c
EX_26dap__M_e,0.0,,,,26dap__M_e --> 
EX_3amp_e,0.0,,,,3amp_e --> 
EX_3cmp_e,0.0,,,,3cmp_e --> 
EX_3gmp_e,0.0,,,,3gmp_e --> 
EX_3ump_e,0.0,,,,3ump_e --> 
EX_4abut_e,0.0,,,,4abut_e --> 
EX_ac_e,0.0,,,,ac_e --> 
EX_acald_e,0.0,,,,acald_e --> 
EX_acgam_e,0.0,,,,acgam_e --> 
EX_acgam1p_e,0.0,,,,acgam1p_e --> 
EX_acmana_e,0.0,,,,acmana_e --> 
EX_acser_e,0.0,,,,acser_e --> 
EX_ade_e,0.0,,,,ade_e --> 
EX_adn_e,0.0,,,,adn_e --> 
EX_akg_e,0.0,,,,akg_e --> 
EX_ala_L_e,0.0,,,,ala__L_e --> 
EX_alaala_e,0.0,,,,alaala_e --> 
EX_ala_B_e,0.0,,,,ala_B_e --> 
EX_ala__D_e,0.0,,,,ala__D_e --> 
EX_amp_e,0.0,,,,amp_e --> 
EX_arg_L_e,0.0,,,,arg__L_e --> 
EX_asn_L_e,0.0,,,,asn__L_e --> 
EX_asp_L_e,0.0,,,,asp__L_e --> 
EX_ca2_e,0.0,,,,ca2_e --> 
EX_cgly_e,0.0,,,,cgly_e --> 
EX_cit_e,0.0,,,,cit_e --> 
EX_cmp_e,0.0,,,,cmp_e --> 
EX_co2_e,5.489957314147624,,,,co2_e --> 
EX_cobalt2_e,0.0,,,,cobalt2_e --> 
EX_cu_e,0.0,,,,cu_e --> 
EX_cu2_e,0.0,,,,cu2_e --> 
EX_cyan_e,0.0,,,,cyan_e --> 
EX_cys_L_e,0.0,,,,cys__L_e --> 
EX_cytd_e,0.0,,,,cytd_e --> 
EX_dad_2_e,0.0,,,,dad_2_e --> 
EX_damp_e,0.0,,,,damp_e --> 
EX_dcmp_e,0.0,,,,dcmp_e --> 
EX_dcyt_e,0.0,,,,dcyt_e --> 
EX_dgmp_e,0.0,,,,dgmp_e --> 
EX_dgsn_e,0.0,,,,dgsn_e --> 
EX_dha_e,0.0,,,,dha_e --> 
EX_dimp_e,0.0,,,,dimp_e --> 
EX_din_e,0.0,,,,din_e --> 
EX_dms_e,0.0,,,,dms_e --> 
EX_dmso_e,0.0,,,,dmso_e --> 
EX_dtmp_e,0.0,,,,dtmp_e --> 
EX_dump_e,0.0,,,,dump_e --> 
EX_duri_e,0.0,,,,duri_e --> 
EX_etha_e,0.0,,,,etha_e --> 
EX_etoh_e,0.0,,,,etoh_e --> 
EX_f6p_e,0.0,,,,f6p_e --> 
EX_fe2_e,-0.019475076237277473,,,,fe2_e <-- 
EX_fe3_e,-0.02264541161320718,,,,fe3_e <-- 
EX_for_e,0.0,,,,for_e --> 
EX_fru_e,0.0,,,,fru_e --> 
EX_fruur_e,0.0,,,,fruur_e --> 
EX_fum_e,0.0,,,,fum_e --> 
EX_g1p_e,0.0,,,,g1p_e --> 
EX_g3pe_e,0.0,,,,g3pe_e --> 
EX_g3pg_e,0.0,,,,g3pg_e --> 
EX_g3pi_e,0.0,,,,g3pi_e --> 
EX_g3ps_e,0.0,,,,g3ps_e --> 
EX_g6p_e,0.0,,,,g6p_e --> 
EX_gal1p_e,0.0,,,,gal1p_e --> 
EX_gam_e,0.0,,,,gam_e --> 
EX_gam6p_e,0.0,,,,gam6p_e --> 
EX_glc_e,-8.470486132494871,,,,glc__D_e <-- 
EX_glcn_e,0.0,,,,glcn_e --> 
EX_glcur_e,0.0,,,,glcur_e --> 
EX_glcur1p_e,0.0,,,,glcur1p_e --> 
EX_gln_L_e,0.0,,,,gln__L_e --> 
EX_glu_L_e,0.0,,,,glu__L_e --> 
EX_gly_e,0.0,,,,gly_e --> 
EX_glyald_e,0.0,,,,glyald_e --> 
EX_glyc_e,0.0,,,,glyc_e --> 
EX_glyc_R_e,0.0,,,,glyc__R_e --> 
EX_glyc3p_e,0.0,,,,glyc3p_e --> 
EX_gmp_e,0.0,,,,gmp_e --> 
EX_gsn_e,0.0,,,,gsn_e --> 
EX_gthrd_e,0.0,,,,gthrd_e --> 
EX_gua_e,0.0,,,,gua_e --> 
EX_h_e,12.291412623626968,,,,h_e --> 
EX_h2_e,0.0,,,,h2_e --> 
EX_h2o_e,24.155814602736232,,,,h2o_e --> 
EX_h2s_e,0.0,,,,h2s_e --> 
EX_his_L_e,0.0,,,,his__L_e --> 
EX_hom__L_e,0.0,,,,hom__L_e --> 
EX_hxan_e,0.0,,,,hxan_e --> 
EX_ile_L_e,0.0,,,,ile__L_e --> 
EX_imp_e,0.0,,,,imp_e --> 
EX_indole_e,0.0,,,,indole_e --> 
EX_inost_e,0.0,,,,inost_e --> 
EX_ins_e,0.07172824769236527,,,,ins_e --> 
EX_k_e,0.0,,,,k_e --> 
EX_lac_D_e,0.0,,,,lac__D_e --> 
EX_lac_L_e,0.0,,,,lac__L_e --> 
EX_leu_L_e,0.0,,,,leu__L_e --> 
EX_lys_L_e,0.0,,,,lys__L_e --> 
EX_mal__L_e,0.0,,,,mal__L_e --> 
EX_malt_e,0.0,,,,malt_e --> 
EX_man_e,0.0,,,,man_e --> 
EX_man6p_e,0.0,,,,man6p_e --> 
EX_met_L_e,1.8027633618952713e-09,,,,met__L_e --> 
EX_mg2_e,0.0,,,,mg2_e --> 
EX_mn2_e,0.0,,,,mn2_e --> 
EX_mnl_e,0.0,,,,mnl_e --> 
EX_n2o_e,0.0,,,,n2o_e --> 
EX_na1_e,0.0,,,,na1_e --> 
EX_nac_e,0.0,,,,nac_e --> 
EX_nh4_e,0.0,,,,nh4_e --> 
EX_ni2_e,0.0,,,,ni2_e --> 
EX_nmn_e,0.0,,,,nmn_e --> 
EX_no_e,0.0,,,,no_e --> 
EX_no2_e,0.0,,,,no2_e --> 
EX_no3_e,0.0,,,,no3_e --> 
EX_o2_e,0.0,,,,o2_e --> 
EX_o2s_e,0.0,,,,o2s_e --> 
EX_orn_e,0.0,,,,orn_e --> 
EX_orot_e,0.0,,,,orot_e --> 
EX_phe_L_e,0.0,,,,phe__L_e --> 
EX_pheme_e,0.0,,,,pheme_e --> 
EX_pi_e,0.0,,,,pi_e --> 
EX_pnto__R_e,0.0,,,,pnto__R_e --> 
EX_ppa_e,0.0,,,,ppa_e --> 
EX_ppt_e,0.0,,,,ppt_e --> 
EX_pro_L_e,0.0,,,,pro__L_e --> 
EX_progly_e,0.0,,,,progly_e --> 
EX_pydx_e,0.0,,,,pydx_e --> 
EX_pyr_e,8.819925607997702,,,,pyr_e --> 
EX_rib__D_e,0.0,,,,rib__D_e --> 
EX_sbt__D_e,0.0,,,,sbt__D_e --> 
EX_ser_L_e,0.0,,,,ser__L_e --> 
EX_skm_e,0.0,,,,skm_e --> 
EX_so3_e,0.0,,,,so3_e --> 
EX_so4_e,0.0,,,,so4_e --> 
EX_succ_e,0.0,,,,succ_e --> 
EX_sucr_e,0.0,,,,sucr_e --> 
EX_tcynt_e,0.0,,,,tcynt_e --> 
EX_thr_L_e,0.0,,,,thr__L_e --> 
EX_thymd_e,0.0,,,,thymd_e --> 
EX_tma_e,0.0,,,,tma_e --> 
EX_tmao_e,0.0,,,,tmao_e --> 
EX_tre_e,0.0,,,,tre_e --> 
EX_trp_L_e,0.0,,,,trp__L_e --> 
EX_tsul_e,0.0,,,,tsul_e --> 
EX_tyr_L_e,0.0,,,,tyr__L_e --> 
EX_uacgam_e,0.0,,,,uacgam_e --> 
EX_udpg_e,0.0,,,,udpg_e --> 
EX_udpgal_e,0.0,,,,udpgal_e --> 
EX_udpglcur_e,0.0,,,,udpglcur_e --> 
EX_ump_e,0.0,,,,ump_e --> 
EX_ura_e,0.0,,,,ura_e --> 
EX_urea_e,0.0,,,,urea_e --> 
EX_uri_e,0.0,,,,uri_e --> 
EX_val_L_e,0.0,,,,val__L_e --> 
EX_xan_e,0.0,,,,xan_e --> 
EX_xmp_e,0.0,,,,xmp_e --> 
EX_xtsn_e,0.0,,,,xtsn_e --> 
EX_xyl__D_e,0.0,,,,xyl__D_e --> 
EX_zn2_e,0.0,,,,zn2_e --> 
ACBCP,1.5533299876750186,,,,accoa_c + cbccp_c --> bccp_c + malcoa_c
BTNC,1.5533299876750186,,,,atp_c + bccp_c + co2_c + h2o_c --> adp_c + cbccp_c + 2.0 h_c + pi_c
5FTHFC,0.0,6.3.3.2,12967.592764727138,0.0,5fthf_c + atp_c --> adp_c + mlthf_c + pi_c
FOMETRi,0.0,,1294423.1201588917,0.0,5fthf_c + h_c --> h2o_c + methf_c
FTHFD,0.12049510675970429,3.5.1.10,,,10fthf_c + h2o_c --> for_c + h_c + thf_c
GLYCL,0.0,2.1.2.10,,,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c
MTHFC,0.2738787568380017,3.5.4.9,133255.30389894705,2.055293476691143e-06,h2o_c + methf_c --> 10fthf_c + h_c
MTHFD,0.2738787568380017,1.5.1.5,5668.858751361328,4.831285605276936e-05,mlthf_c + nadp_c --> methf_c + nadph_c
MTHFR2,0.037180144284342284,1.5.1.20,10309.671518016909,3.6063364598345594e-06,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c
